                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.76948,                 1.2573,                 1.2974,                 1.0931,                0.14826,                0.27417,                0.14763,                0.07706,                 0.1319,                0.25924,                0.15223,                0.07201,                  1.664,                 4.9958,                 3.2308,                 1.9726,             0.00073802,             0.00073802,             0.00073802
                     40,                0.80986,                 1.2113,                 1.3693,                 1.1551,                0.53485,                0.21681,                0.22458,                 0.1102,                  0.473,                0.20873,                 0.2014,                0.11259,                 1.6682,                 4.4495,                 3.0533,                 1.9114,             0.00073352,             0.00073352,             0.00073352
                     41,                0.75229,                 1.2233,                 1.2347,                  1.109,                0.20393,                0.26312,                 0.2222,                0.11943,                0.40291,                0.25818,                0.21308,                 0.1167,                 1.6161,                 4.5992,                 3.1988,                 1.8898,             0.00072902,             0.00072902,             0.00072902
                     42,                0.81257,                 1.3005,                 1.3357,                 1.1365,                 0.4501,                0.23874,                 0.2275,                0.13993,                 0.4501,                0.23874,                0.22629,                0.12168,                 1.6341,                 4.6734,                 3.0979,                 1.8784,             0.00072452,             0.00072452,             0.00072452
                     43,                0.75034,                 1.1636,                 1.1651,                 1.1128,                0.20934,                0.26106,                0.20649,                0.12776,                0.19996,                0.25926,                0.19651,                0.11279,                 1.6075,                 4.6802,                 3.0876,                 1.8373,             0.00072002,             0.00072002,             0.00072002
                     44,                0.77883,                 1.2227,                 1.2411,                 1.1184,                 0.3297,                  0.286,                0.22844,                0.13181,                 0.3246,                0.29061,                0.22622,                0.09476,                 1.6176,                 4.3577,                 2.9632,                 1.8655,             0.00071552,             0.00071552,             0.00071552
                     45,                0.69657,                 1.1779,                 1.1452,                 1.0808,                0.26259,                0.28578,                0.24051,                 0.1365,                0.25117,                0.28184,                 0.2397,                0.10652,                 1.6547,                  4.065,                 2.8553,                 1.8624,             0.00071102,             0.00071102,             0.00071102
                     46,                0.69162,                 1.2109,                 1.1567,                 1.0707,                0.21393,                 0.2951,                0.22585,                0.13811,                0.23952,                0.31565,                0.25123,                0.11295,                 1.6415,                 4.0194,                 2.8171,                 1.8851,             0.00070652,             0.00070652,             0.00070652
                     47,                0.70747,                 1.1645,                 1.1821,                  1.097,                0.24242,                0.29304,                0.25513,                0.15095,                0.22568,                0.27636,                0.23813,                0.12254,                 1.6118,                 4.2213,                 2.8038,                 1.8778,             0.00070202,             0.00070202,             0.00070202
                     48,                0.67365,                 1.1042,                 1.0849,                  1.042,                0.29117,                0.21583,                0.21589,                0.11401,                0.29117,                0.21583,                0.19375,                0.09582,                 1.5494,                 4.3357,                 2.8808,                 1.7865,             0.00069752,             0.00069752,             0.00069752
                     49,                0.64472,                0.97137,                 1.0481,                 1.0689,                0.17736,                0.24661,                0.20161,                0.11749,                0.20541,                0.18832,                 0.1844,                0.09439,                 1.5294,                 4.3353,                 2.9895,                 1.7702,             0.00069302,             0.00069302,             0.00069302
