                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.40929,                0.61541,                0.46158,                0.92203,                0.36174,                0.29907,                0.25549,                 0.1871,                0.31881,                0.26971,                0.22876,                0.13996,                 1.4526,                   4.34,                 3.2575,                 1.7122,             0.00015308,             0.00015308,             0.00015308
                     86,                0.39304,                 0.5979,                0.44401,                0.91026,                0.35049,                0.30319,                0.24899,                0.17785,                0.31384,                0.26284,                0.21307,                 0.1327,                 1.4409,                  4.393,                 3.2884,                 1.6865,             0.00014408,             0.00014408,             0.00014408
                     87,                0.40451,                0.58631,                0.44812,                0.91233,                0.33671,                0.30019,                0.24178,                0.17633,                0.28417,                0.25216,                0.20865,                0.13001,                 1.4037,                 4.4346,                 3.3064,                 1.6572,             0.00013508,             0.00013508,             0.00013508
                     88,                0.39045,                0.59625,                0.44526,                0.91303,                0.28063,                0.26078,                0.23053,                0.17015,                0.21552,                0.21423,                0.20093,                0.12509,                 1.3691,                 4.5252,                 3.3152,                 1.6445,             0.00012608,             0.00012608,             0.00012608
                     89,                 0.4018,                0.64484,                0.45952,                0.92756,                0.27802,                0.26464,                0.23697,                0.17678,                0.21309,                0.22372,                0.20713,                0.13113,                 1.3558,                 4.5773,                 3.3271,                 1.6358,             0.00011708,             0.00011708,             0.00011708
                     90,                0.39464,                0.55313,                0.45173,                0.91437,                0.44414,                0.22961,                0.23412,                0.17176,                0.30486,                0.19414,                0.19942,                0.12854,                 1.4007,                 4.7632,                  3.362,                 1.6798,             0.00010808,             0.00010808,             0.00010808
                     91,                0.41773,                0.57539,                0.63342,                 0.9451,                0.26209,                0.25439,                0.23063,                0.16938,                0.27225,                0.19185,                 0.1961,                0.12795,                 1.4538,                 5.0695,                   3.37,                 1.7153,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.41314,                0.58119,                0.59448,                0.93107,                0.25446,                0.23655,                0.20078,                0.15127,                0.17529,                0.18445,                0.17636,                 0.1235,                 1.4679,                 5.4208,                 3.5576,                 1.7085,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.38743,                 0.5744,                0.54591,                0.91942,                0.23116,                0.23203,                0.19135,                0.14707,                0.18482,                0.19444,                0.17169,                 0.1195,                 1.4853,                 5.4071,                 3.5972,                 1.7178,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.39748,                0.52138,                0.53453,                0.91288,                0.30683,                0.20466,                0.19925,                0.14984,                0.22312,                0.17358,                0.17223,                0.12001,                 1.4695,                 5.1429,                 3.5071,                 1.6981,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.35446,                0.48066,                0.48726,                0.91005,                0.25349,                0.20572,                0.20549,                0.15519,                0.19704,                0.17692,                0.17958,                0.12245,                 1.4501,                 5.0244,                 3.4409,                 1.6892,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.39308,                0.53201,                0.49828,                0.93695,                0.21492,                0.24505,                0.20688,                0.15545,                0.21266,                0.16471,                0.18571,                0.12402,                 1.4418,                 4.9932,                 3.4112,                 1.6924,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.35105,                0.51498,                0.47076,                0.89849,                0.21202,                0.25151,                0.20966,                0.15529,                0.20817,                0.16471,                0.18701,                0.12311,                 1.4046,                 4.8529,                  3.433,                 1.6602,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.36237,                0.51898,                0.48142,                0.90266,                0.22314,                0.23594,                0.21368,                 0.1586,                0.21324,                0.16471,                0.19017,                0.12617,                 1.4083,                 4.9294,                  3.452,                 1.6669,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.37019,                0.48269,                0.49288,                0.91082,                 0.2356,                0.24752,                0.21282,                0.15912,                0.21352,                0.16256,                0.19229,                0.12519,                 1.4256,                 4.9394,                 3.4484,                 1.6913,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.34538,                 0.5064,                0.47911,                0.91322,                0.22886,                0.25077,                0.21246,                0.15816,                0.21209,                0.16118,                0.18949,                0.12429,                 1.4466,                 4.9456,                 3.4418,                 1.7057,             1.8089e-05,             1.8089e-05,             1.8089e-05
